x,Constant Epsilon,Linearly Varying Epsilon,Exponentially Varying Epsilon,Random Varying Epsilon
0.00000,3.60887e-09,1.57513e-10,1.18234e-11,9.02389e-13
0.00402,1.06501e-09,5.46874e-12,2.03459e-12,9.54792e-15
0.00803,5.60720e-10,8.68861e-13,1.60782e-12,2.68674e-14
0.01205,1.15558e-09,1.60560e-12,1.88982e-12,2.50910e-14
0.01606,5.04828e-10,5.57332e-14,2.78644e-12,1.31006e-14
0.02008,8.76600e-10,7.46070e-14,3.01981e-13,1.42109e-14
0.02410,6.03990e-10,8.48210e-14,3.49631e-12,3.59712e-14
0.02811,7.03720e-10,1.12577e-13,2.50222e-12,4.66294e-15
0.03213,1.19936e-10,3.37508e-13,1.47438e-12,1.77636e-14
0.03614,4.38485e-10,1.19238e-13,2.39297e-12,1.55431e-15
0.04016,4.05187e-10,2.34479e-13,7.10543e-15,2.13163e-14
0.04418,4.40875e-10,5.90639e-14,9.11715e-13,1.64313e-14
0.04819,2.34533e-10,2.30038e-13,1.48059e-12,2.04281e-14
0.05221,4.34319e-10,1.92513e-13,2.92100e-12,1.13243e-14
0.05622,4.06825e-10,3.37286e-13,2.80442e-13,1.04361e-14
0.06024,5.76105e-10,5.95080e-14,1.87850e-12,2.39808e-14
0.06426,1.09081e-10,5.55112e-14,2.67031e-12,1.28786e-14
0.06827,1.22448e-10,6.41709e-14,5.61107e-13,1.04361e-14
0.07229,1.27879e-10,4.36318e-13,3.22631e-13,2.88658e-15
0.07631,2.38254e-10,7.97140e-14,8.75522e-13,4.10783e-14
0.08032,7.12288e-10,1.87850e-13,1.06271e-12,7.54952e-15
0.08434,2.62339e-10,5.18030e-13,2.45071e-12,1.70974e-14
0.08835,1.17122e-10,2.59348e-13,2.07123e-12,2.13163e-14
0.09237,2.13545e-10,2.99538e-13,4.13225e-13,2.02061e-14
0.09639,1.47586e-10,3.66374e-14,3.61777e-12,2.24265e-14
0.10040,9.76990e-11,2.69340e-13,2.65676e-12,1.48770e-14
0.10442,1.43342e-10,3.58380e-13,2.85949e-12,2.17604e-14
0.10843,3.60273e-10,4.44089e-16,1.25100e-12,2.44249e-14
0.11245,6.41520e-10,2.42473e-13,1.00808e-12,1.50990e-14
0.11647,2.79475e-10,2.37588e-14,7.15206e-13,1.53211e-14
0.12048,8.39921e-10,1.67422e-13,2.04325e-12,1.11022e-14
0.12450,3.63021e-11,5.89306e-13,3.77032e-13,1.46549e-14
0.12851,6.89883e-10,1.73661e-12,9.40803e-13,1.84297e-14
0.13253,9.03952e-11,1.15108e-12,7.81597e-13,2.48690e-14
0.13655,1.10795e-09,1.57652e-13,1.77502e-12,1.19904e-14
0.14056,4.09060e-10,9.88098e-14,6.96998e-13,7.77156e-15
0.14458,9.42169e-10,4.66294e-14,1.88605e-12,3.10862e-15
0.14859,7.77317e-10,1.10678e-11,2.11986e-12,1.31006e-14
0.15261,3.74891e-10,1.99041e-11,2.75335e-13,8.88178e-15
0.15663,5.81634e-10,4.36495e-12,2.03437e-12,2.88658e-14
0.16064,7.24927e-10,4.49352e-12,1.67644e-13,1.70974e-14
0.16466,6.49557e-10,2.22189e-11,9.59455e-13,7.32747e-15
0.16867,1.17773e-10,6.94178e-12,1.12998e-12,1.08802e-14
0.17269,3.42872e-11,1.46727e-12,1.63780e-12,1.06581e-14
0.17671,1.04092e-09,1.19971e-12,4.60743e-13,1.13243e-14
0.18072,3.04773e-10,7.03881e-13,3.77343e-12,2.88658e-14
0.18474,7.84703e-10,9.30367e-14,9.45688e-13,9.99201e-15
0.18876,9.08466e-10,8.86202e-12,8.01359e-13,5.55112e-15
