Epsilon,Kappa,e
0.20,1.7227e+20,7.2490e+00
0.30,3.7046e+20,6.4688e-01
0.40,9.7372e+19,3.8207e+00
0.50,7.3948e+19,1.7617e+00
0.60,4.9982e+19,1.5027e+00
0.70,4.1723e+19,1.5027e-01
0.80,2.0919e+20,4.9874e+00
0.90,3.7465e+20,7.1273e-02
1.00,3.1551e+19,4.7774e-01
1.10,8.3793e+19,8.5221e-02
1.20,4.2467e+19,1.1355e-01
1.30,9.7058e+19,2.5124e-02
1.40,3.2872e+20,8.7737e-03
1.50,1.3589e+20,3.5523e-03
1.60,3.3963e+19,3.2258e-03
1.70,6.2606e+19,3.8565e-03
1.80,2.5127e+19,1.1272e-02
1.90,1.9204e+19,4.1859e-04
2.00,6.5213e+18,1.1391e-04
2.10,1.0764e+19,8.2502e-05
2.20,1.1064e+19,3.7010e-05
2.30,7.5102e+18,8.6888e-06
2.40,6.8549e+18,6.9002e-06
2.50,1.3270e+19,5.9699e-06
2.60,5.8643e+17,5.8317e-06
2.70,2.4649e+17,5.7892e-06
2.80,8.1779e+16,6.4978e-06
2.90,2.8553e+16,7.2329e-06
3.00,1.1037e+16,8.0254e-06
3.10,4.5705e+15,8.8661e-06
3.20,1.9829e+15,9.7676e-06
3.30,9.0826e+14,1.0736e-05
3.40,4.3454e+14,1.1782e-05
3.50,2.1672e+14,1.2918e-05
3.60,1.1232e+14,1.4156e-05
3.70,6.0284e+13,1.5509e-05
3.80,3.3417e+13,1.6991e-05
3.90,1.9088e+13,1.8615e-05
4.00,1.1209e+13,2.0392e-05
4.10,6.7548e+12,2.2335e-05
4.20,4.1691e+12,2.4454e-05
4.30,2.6313e+12,2.6759e-05
4.40,1.6957e+12,2.9257e-05
4.50,1.1143e+12,3.3102e-05
4.60,7.4565e+11,3.8964e-05
4.70,5.0757e+11,4.5535e-05
4.80,3.5109e+11,5.2833e-05
4.90,2.4654e+11,6.0868e-05
5.00,1.7559e+11,6.9648e-05
5.10,1.2674e+11,7.9176e-05
5.20,9.2634e+10,8.9451e-05
5.30,6.8517e+10,1.0047e-04
5.40,5.1250e+10,1.1222e-04
5.50,3.8744e+10,1.2470e-04
5.60,2.9585e+10,1.3788e-04
5.70,2.2808e+10,1.5176e-04
5.80,1.7742e+10,1.6632e-04
5.90,1.3921e+10,1.8153e-04
6.00,1.1012e+10,1.9738e-04
6.10,8.7784e+09,2.1384e-04
6.20,7.0498e+09,2.3089e-04
6.30,5.7016e+09,2.4851e-04
6.40,4.6422e+09,2.6667e-04
6.50,3.8038e+09,2.8535e-04
6.60,3.1360e+09,3.0452e-04
6.70,2.6005e+09,3.2416e-04
6.80,2.1685e+09,3.4424e-04
6.90,1.8179e+09,3.6473e-04
7.00,1.5318e+09,3.8562e-04
7.10,1.2971e+09,4.0688e-04
7.20,1.1034e+09,4.2849e-04
7.30,9.4295e+08,4.5041e-04
7.40,8.0928e+08,4.7264e-04
7.50,6.9743e+08,4.9514e-04
7.60,6.0344e+08,5.1790e-04
7.70,5.2411e+08,5.4089e-04
7.80,4.5689e+08,5.6410e-04
7.90,3.9969e+08,5.8750e-04
8.00,3.5085e+08,6.1108e-04
8.10,3.0898e+08,6.3481e-04
8.20,2.7297e+08,6.5868e-04
8.30,2.4189e+08,6.8268e-04
8.40,2.1498e+08,7.0678e-04
8.50,1.9160e+08,7.3097e-04
8.60,1.7123e+08,7.5524e-04
8.70,1.5343e+08,7.7956e-04
8.80,1.3783e+08,8.0394e-04
8.90,1.2412e+08,8.2834e-04
9.00,1.1204e+08,8.5277e-04
9.10,1.0137e+08,8.7721e-04
9.20,9.1915e+07,9.0164e-04
9.30,8.3524e+07,9.2607e-04
9.40,7.6057e+07,9.5046e-04
9.50,6.9397e+07,9.7483e-04
9.60,6.3444e+07,9.9915e-04
9.70,5.8111e+07,1.0234e-03
9.80,5.3324e+07,1.0476e-03
9.90,4.9018e+07,1.0718e-03
10.00,4.5138e+07,1.0958e-03
10.10,4.1634e+07,1.1198e-03
10.20,3.8465e+07,1.1437e-03
10.30,3.5593e+07,1.1675e-03
10.40,3.2985e+07,1.1912e-03
10.50,3.0614e+07,1.2148e-03
10.60,2.8455e+07,1.2382e-03
10.70,2.6485e+07,1.2616e-03
10.80,2.4685e+07,1.2848e-03
10.90,2.3037e+07,1.3079e-03
11.00,2.1528e+07,1.3309e-03
11.10,2.0142e+07,1.3537e-03
11.20,1.8869e+07,1.3764e-03
11.30,1.7697e+07,1.3990e-03
11.40,1.6617e+07,1.4214e-03
11.50,1.5620e+07,1.4437e-03
11.60,1.4700e+07,1.4658e-03
11.70,1.3848e+07,1.4878e-03
11.80,1.3059e+07,1.5096e-03
11.90,1.2328e+07,1.5312e-03
12.00,1.1649e+07,1.5527e-03
